Info 153  [18:6:9.603] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 44 structureChanged: false Elapsed: 3ms
Info 154  [18:6:9.603] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 155  [18:6:10.571] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 156  [18:6:10.581] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 45 structureChanged: false Elapsed: 10ms
Info 157  [18:6:10.581] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 158  [18:6:45.231] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 159  [18:6:45.237] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 46 structureChanged: false Elapsed: 6ms
Info 160  [18:6:45.237] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 161  [18:6:47.119] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 162  [18:6:47.126] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 47 structureChanged: false Elapsed: 6ms
Info 163  [18:6:47.126] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 164  [18:6:47.704] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 165  [18:6:47.709] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 48 structureChanged: false Elapsed: 5ms
Info 166  [18:6:47.709] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 167  [18:6:47.939] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 168  [18:6:47.944] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 49 structureChanged: false Elapsed: 5ms
Info 169  [18:6:47.944] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 170  [18:6:48.511] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 171  [18:6:48.514] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 50 structureChanged: false Elapsed: 3ms
Info 172  [18:6:48.514] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 173  [18:7:20.681] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 174  [18:7:20.684] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 51 structureChanged: false Elapsed: 3ms
Info 175  [18:7:20.684] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 176  [18:7:20.928] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 177  [18:7:20.933] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 52 structureChanged: false Elapsed: 5ms
Info 178  [18:7:20.933] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 179  [18:7:21.486] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 180  [18:7:21.490] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 53 structureChanged: false Elapsed: 4ms
Info 181  [18:7:21.490] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 182  [18:7:22.313] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 183  [18:7:22.316] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 54 structureChanged: false Elapsed: 3ms
Info 184  [18:7:22.316] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 185  [18:7:22.606] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 186  [18:7:22.610] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 55 structureChanged: false Elapsed: 4ms
Info 187  [18:7:22.610] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 188  [18:7:22.854] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 189  [18:7:22.858] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 56 structureChanged: false Elapsed: 4ms
Info 190  [18:7:22.858] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 191  [18:7:23.800] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 192  [18:7:23.804] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 57 structureChanged: false Elapsed: 4ms
Info 193  [18:7:23.804] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 194  [18:7:24.957] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 195  [18:7:24.959] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 58 structureChanged: false Elapsed: 2ms
Info 196  [18:7:24.959] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 197  [18:7:25.237] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 198  [18:7:25.239] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 59 structureChanged: false Elapsed: 2ms
Info 199  [18:7:25.239] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 200  [18:7:31.148] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 201  [18:7:31.153] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 60 structureChanged: false Elapsed: 5ms
Info 202  [18:7:31.153] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 203  [18:8:36.178] Search path: /home/alex/Brain/themes/Zettels/assets/js
Info 204  [18:8:36.178] For info: /home/alex/Brain/themes/Zettels/assets/js/fuse.js :: No config files found.
Info 205  [18:8:36.183] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 206  [18:8:36.263] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 1 structureChanged: true Elapsed: 80ms
Info 207  [18:8:36.263] Project '/dev/null/inferredProject3*' (Inferred)
Info 208  [18:8:36.263] 	Files (6)

Info 209  [18:8:36.263] -----------------------------------------------
Info 210  [18:8:36.378] Starting updateGraphWorker: Project: /dev/null/inferredProject3*
Info 211  [18:8:36.378] Finishing updateGraphWorker: Project: /dev/null/inferredProject3* Version: 2 structureChanged: false Elapsed: 0ms
Info 212  [18:8:38.867] Before ensureProjectForOpenFiles:
Info 213  [18:8:38.868] After ensureProjectForOpenFiles:
Info 214  [18:8:38.868] got projects updated in background, updating diagnostics for /home/alex/Brain/themes/Zettels/assets/js/turbolinks.js,/home/alex/Brain/themes/Zettels/assets/js/fastsearch.js,/home/alex/Brain/themes/Zettels/assets/js/fuse.js
Info 215  [18:12:12.851] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 216  [18:12:12.857] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 61 structureChanged: false Elapsed: 6ms
Info 217  [18:12:12.857] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 218  [18:12:14.139] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 219  [18:12:14.145] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 62 structureChanged: false Elapsed: 6ms
Info 220  [18:12:14.145] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 221  [18:12:14.588] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 222  [18:12:14.593] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 63 structureChanged: false Elapsed: 4ms
Info 223  [18:12:14.593] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 224  [18:12:16.200] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 225  [18:12:16.207] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 64 structureChanged: false Elapsed: 7ms
Info 226  [18:12:16.207] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 227  [18:12:18.140] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 228  [18:12:18.147] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 65 structureChanged: false Elapsed: 7ms
Info 229  [18:12:18.147] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 230  [18:12:18.732] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 231  [18:12:18.737] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 66 structureChanged: false Elapsed: 5ms
Info 232  [18:12:18.737] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 233  [18:12:19.3] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 234  [18:12:19.13] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 67 structureChanged: false Elapsed: 10ms
Info 235  [18:12:19.13] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 236  [18:12:20.112] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 237  [18:12:20.116] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 68 structureChanged: false Elapsed: 4ms
Info 238  [18:12:20.116] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 239  [18:12:20.919] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 240  [18:12:20.924] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 69 structureChanged: false Elapsed: 5ms
Info 241  [18:12:20.924] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 242  [18:12:21.850] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 243  [18:12:21.854] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 70 structureChanged: false Elapsed: 4ms
Info 244  [18:12:21.854] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 245  [18:12:22.303] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 246  [18:12:22.306] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 71 structureChanged: false Elapsed: 3ms
Info 247  [18:12:22.306] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 248  [18:12:23.824] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 249  [18:12:23.827] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 72 structureChanged: false Elapsed: 3ms
Info 250  [18:12:23.827] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 251  [18:12:24.639] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 252  [18:12:24.643] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 73 structureChanged: false Elapsed: 4ms
Info 253  [18:12:24.643] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 254  [18:12:25.444] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 255  [18:12:25.448] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 74 structureChanged: false Elapsed: 4ms
Info 256  [18:12:25.448] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 257  [18:12:26.388] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 258  [18:12:26.392] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 75 structureChanged: false Elapsed: 4ms
Info 259  [18:12:26.392] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 260  [18:12:27.994] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 261  [18:12:27.997] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 76 structureChanged: false Elapsed: 3ms
Info 262  [18:12:27.997] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 263  [18:12:28.939] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 264  [18:12:28.943] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 77 structureChanged: false Elapsed: 4ms
Info 265  [18:12:28.943] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 266  [18:12:29.299] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 267  [18:12:29.302] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 78 structureChanged: false Elapsed: 3ms
Info 268  [18:12:29.302] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 269  [18:12:29.800] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 270  [18:12:29.803] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 79 structureChanged: false Elapsed: 3ms
Info 271  [18:12:29.803] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 272  [18:12:30.704] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 273  [18:12:30.709] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 80 structureChanged: false Elapsed: 5ms
Info 274  [18:12:30.709] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 275  [18:12:31.991] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 276  [18:12:31.996] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 81 structureChanged: false Elapsed: 5ms
Info 277  [18:12:31.996] Different program with same set of files:: oldProgram.structureIsReused:: 2
Info 278  [18:12:32.670] Starting updateGraphWorker: Project: /dev/null/inferredProject2*
Info 279  [18:12:32.674] Finishing updateGraphWorker: Project: /dev/null/inferredProject2* Version: 82 structureChanged: false Elapsed: 4ms
Info 280  [18:12:32.674] Different program with same set of files:: oldProgram.structureIsReused:: 2
